id,original_title,title,bag_of_words
10,Mr. Holland's Opus,Mr. Holland's Opus,Music Drama Family English HollywoodPictures TheCharlieMopicCompany PolyGramFilmedEntertainment InterscopeCommunications RichardDreyfuss GlenneHeadly JayThomas OlympiaDukakis WilliamH.Macy AliciaWitt NicholasJohnRenner StephenHerek PatrickSheaneDuncan composer mentor deaf-mute musical apprentice privatelife music disabled 
11,Gazon maudit,French Twist,Comedy Romance Français Español RennProductions LesFilmsFlam TF1FilmsProduction Canal+ VictoriaAbril JosianeBalasko AlainChabat TickyHolgado CatherineHiegel KatrineBoorman TelscheBoorman JosianeBalasko JosianeBalasko PatrickAubrée TelscheBoorman lovetriangle southernfrance estateagent menageatrois van womandirector 
12,From Dusk Till Dawn,From Dusk Till Dawn,Horror Action Thriller Crime English Español ABandApart DimensionFilms LosHooligansProductions Miramax GeorgeClooney QuentinTarantino HarveyKeitel JulietteLewis ErnestLiu SalmaHayek CheechMarin RobertRodriguez QuentinTarantino RobertKurtzman dancing brotherbrotherrelationship sexualobsession showdown sheriff eroticism nudity bankrobber vampire holywater siege stripper priest explosion extremeviolence bankrobbery preacher hostagesituation crucifix recreationalvehicle bloodspurting conveniencestore femalevampire mexicanamericanborder nightclubentertainer boaconstrictor 
13,Antonia,Antonia's Line,Drama Comedy Nederlands BergenFilm BardEntertainments NPSTelevisie WillekevanAmmelrooy ElsDottermans DoravanderGroen VeerlevanOverloop EstherVriesendorp ArneBang-Hansen ThyrzaRavesteijn MarleenGorris MarleenGorris suicide underdog freelove philosophy rape mentallydisabled lossofmother villagelife worldwarii feminism indiansummer familyhistory widow peasant village mathematics freedom rightandjustice single homosexuality motherdaughterrelationship domesticviolence university womandirector 
14,The Bridges of Madison County,The Bridges of Madison County,Drama Romance English AmblinEntertainment MalpasoProductions WarnerBros. MerylStreep ClintEastwood AnnieCorley VictorSlezak JimHaynie SarahKathrynSchmitt ChristopherKroon ClintEastwood RichardLaGravenese RobertJamesWaller farewell adultery loveatfirstsight photographer wifehusbandrelationship iowa loveofone'slife motherrole bridge housewife loveletter peasant marriagecrisis photography unsociability secretlove naturedocumentary 
15,Braveheart,Braveheart,Action Drama History War English Français Latin  IconEntertainmentInternational TheLaddCompany B.H.FinanceC.V. MelGibson CatherineMcCormack SophieMarceau PatrickMcGoohan AngusMacfadyen BrendanGleeson JamesRobinson RandallWallace MelGibson RandallWallace individual scotland inlovewithenemy legend independence idealism revolt tyranny 
16,Taxi Driver,Taxi Driver,Crime Drama English Español ColumbiaPicturesCorporation Italo/JudeoProductions Bill/Phillips RobertDeNiro CybillShepherd HarveyKeitel JodieFoster PeterBoyle LeonardHarris AlbertBrooks MartinScorsese PaulSchrader vietnamveteran taxi obsession drugdealer nightshift vigilante alienation misanthrope shottodeath illegalprostitution loner 
17,Apollo 13,Apollo 13,Drama English ImagineEntertainment UniversalPictures TomHanks BillPaxton KevinBacon GarySinise EdHarris KathleenQuinlan MaryKateSchellhardt WilliamBroylesJr. RonHoward AlReinert JeffreyKluger JimLovell RicardoF.Delgado moon florida nasa spaceman raceagainsttime houston basedontruestory space rescue survival disaster explosion astronaut imax saturnvrocket courage hypothermia apolloprogram capekennedy lunarmission spacecraftaccident 
18,Beyond Rangoon,Beyond Rangoon,Drama Thriller English ColumbiaPictures CastleRockEntertainment PatriciaArquette FrancesMcDormand UAungKo SpaldingGray TiaraJacquelina AnnHoward VictorSlezak JohnBoorman AlexLasker BillRubenstein burma rangoon doctor 
19,Die Hard: With a Vengeance,Die Hard: With a Vengeance,Action Thriller English Deutsch Română TwentiethCenturyFoxFilmCorporation CinergiPicturesEntertainment BruceWillis JeremyIrons SamuelL.Jackson GrahamGreene ColleenCamp LarryBryggman AnthonyPeck JonathanHensleigh JohnMcTiernan RoderickThorp bomb taxi riddle robbery detective helicopter gold subway ship fistfight police sequel deception shootout newyorkcity explosion violence carchase fbiagent simonsays flashback dumptruck aqueduct actionhero federalreservebank 
20,Lord of Illusions,Lord of Illusions,Mystery Horror Thriller English UnitedArtists SeraphimFilms ScottBakula KevinJ.O'Connor FamkeJanssen JoelSwetow DanielvonBargen BarryDelSherman JosephLatimore CliveBarker CliveBarker CliveBarker fanatic supernatural wizardry resurrection sect occultism 
21,The Net,The Net,Crime Drama Mystery Thriller Action English Español ColumbiaPictures SandraBullock JeremyNortham DennisMiller WendyGazelle KenHoward DianeBaker RayMcKinnon JohnD.Brancato MichaelFerris IrwinWinkler cheating newidentity computervirus chase computer stalking 
22,Strange Days,Strange Days,Crime Drama ScienceFiction Thriller English LightstormEntertainment RalphFiennes AngelaBassett TomSizemore JulietteLewis VincentD'Onofrio WilliamFichtner MichaelWincott JamesCameron KathrynBigelow JayCocks pornography prostitute rape policebrutality dream ex-girlfriend future bodyguard rapper virtualreality dystopia minidisc police ex-cop murder cyberpunk losangeles violence criminal privatedetective revolt womandirector 
23,Under Siege 2: Dark Territory,Under Siege 2: Dark Territory,Action Thriller English RegencyEnterprises WarnerBros. Seagal/NassoProductions VictorCompanyofJapan(JVC) CuttingEdgeFilms StevenSeagal EricBogosian EverettMcGill KatherineHeigl МоррисЧестнат PeterGreene PatrickKilpatrick GeoffMurphy J.F.Lawton RichardHatem MattReeves terrorist pentagon satellite navyseal train 
24,Bushwhacked,Bushwhacked,Adventure Action Comedy Crime Family English Deutsch TwentiethCenturyFoxFilmCorporation DanielStern JonPolito BradSullivan AnnDowd AnthonyHeald TomWood BlakeBashoff GregBeeman DannyByers JohnJordan TommySwerdlow MichaelGoldberg cave waterfall children mistakenidentity boyscoutsleader 
25,Before Sunrise,Before Sunrise,Drama Romance English Deutsch Français DetourFilmProduction WarnerBros. EthanHawke JulieDelpy AndreaEckert HannoPöschl KarlBruckschwaiger TexRubinowitz ErniMangold RichardLinklater RichardLinklater KimKrizan dialogue sunrise talking soulmates walking austria traveller danube bittersweet romantic vienna 
26,Clerks,Clerks,Comedy English MiramaxFilms ViewAskewProductions BrianO'Halloran JeffAnderson JasonMewes KevinSmith LisaSpoonhauer MarilynGhigliotti ScottMosier KevinSmith KevinSmith salesclerk loser aftercreditsstinger 
27,Don Juan DeMarco,Don Juan DeMarco,Romance Drama Comedy English NewLineCinema AmericanZoetrope JohnnyDepp MarlonBrando FayeDunaway GéraldinePailhas BobDishy RachelTicotin TalisaSoto JeremyLeven JeremyLeven sexaddiction love mentalinstitution patient psychiatrist donjuan 
28,Disclosure,Disclosure,Drama Thriller Crime Mystery Romance English WarnerBros. BaltimorePictures MichaelDouglas DemiMoore DonaldSutherland DylanBaker JacquelineKim RomaMaffia CarolineGoodall BarryLevinson PaulAttanasio employee workplace sexualharassment intrigue 
29,Drop Zone,Drop Zone,Action Adventure Thriller English ParamountPictures WesleySnipes GaryBusey YancyButler MichaelJeter CorinNemec KyleSecor LucaBercovici JohnBadham GuyManos PeterBarsocchini PeterBarsocchini JohnBishop TonyGriffin terrorist transportofprisoners airplane parachuting suspense 
30,Ed Wood,Ed Wood,Comedy Drama History English TouchstonePictures JohnnyDepp MartinLandau SarahJessicaParker PatriciaArquette JeffreyJones G.D.Spradlin VincentD'Onofrio TimBurton RudolphGrey ScottAlexander LarryKaraszewski individual taxi transsexuality fortuneteller filmbusiness filmmaking filmproducer vororte filmmaker boxer filmdirector oddball celebrity morphine moviestudio losangeles drugaddict cultdirector theremin handgun trickortreating actor transvestite 
31,Interview with the Vampire,Interview with the Vampire,Horror Romance English Français GeffenPictures BradPitt TomCruise KirstenDunst AntonioBanderas ChristianSlater StephenRea ThandieNewton AnneRice AnneRice NeilJordan paris sanfrancisco vampire plantation pity bite fangvamp 
32,Junior,Junior,Comedy Family Romance English UniversalPictures NorthernLightsEntertainment ArnoldSchwarzenegger DannyDeVito EmmaThompson FrankLangella PamelaReed AidaTurturro ChristopherMeloni IvanReitman KevinWade ChrisConrad baby medicine media pregnancy scientist science malepregnancy fertility gynaecology ceasareanbirth 
33,Star Wars,Star Wars,Adventure Action ScienceFiction English Lucasfilm TwentiethCenturyFoxFilmCorporation MarkHamill HarrisonFord CarrieFisher PeterCushing AlecGuinness AnthonyDaniels KennyBaker GeorgeLucas GeorgeLucas android galaxy hermit deathstar lightsaber jedi rescuemission empire rebellion planet smuggler theforce spaceopera galacticwar stormtrooper totalitarianism 
34,Frankenstein,Mary Shelley's Frankenstein,Drama Horror ScienceFiction Romance English AmericanZoetrope TriStarPictures RobertDeNiro KennethBranagh TomHulce HelenaBonhamCarter AidanQuinn IanHolm RichardBriers FrankDarabont KennethBranagh MaryShelley StephLady humanexperimentation frankenstein remake 
35,Nell,Nell,Drama Thriller English TwentiethCenturyFoxFilmCorporation EggPictures PolyGramFilmedEntertainment JodieFoster LiamNeeson NatashaRichardson RichardLibertini RobinMullins NickSearcy JeremyDavies WilliamNicholson MichaelApted MarkHandley MarkHandley lossofmother lossofsister twinsister autism lake kaspar-hauser-syndrom feralchild forest northcarolina psychologist family 
36,Once Were Warriors,Once Were Warriors,Drama English  AvalonStudios NewZealandFilmCommission NewZealandOnAir RenaOwen TemueraMorrison MamaengaroaKerr-Bell JulianArahanga TaungaroaEmile RachaelMorrisJr. JosephKairau LeeTamahori RiwiaBrown AlanDuff individual slum suicide tattoo alcohol rape tradition lossofchild indigenous despair violenthusband ghetto newzealand maori strongwoman lackofprospects maoritradition funeral approvedschool crush independentfilm teacher youthgang domesticviolence violence rebelliousyouth alcoholabuse incest unemployment 
37,Outbreak,Outbreak,Action Drama ScienceFiction Thriller English 한국어/조선말 Français KopelsonEntertainment PunchProductions WarnerBros. ArnoldKopelsonProductions DustinHoffman ReneRusso MorganFreeman KevinSpacey CubaGoodingJr. DonaldSutherland PatrickDempsey WolfgangPetersen LaurenceDworet RobertRoyPool river general research army serum monkey epidemic medicalresearch 
38,Léon,Leon: The Professional,Thriller Crime Drama English ColumbiaPictures Gaumont JeanReno NataliePortman GaryOldman DannyAiello PeterAppel MichaelBadalucco EllenGreene LucBesson LucBesson newyork corruption assassin policebrutality lossoffamily s.w.a.t. immigrant hitman training revenge murder loneliness neighbor tragiclove cultfilm neo-noir complexrelationship complexcharacters 
39,Pulp Fiction,Pulp Fiction,Thriller Crime English Español Français MiramaxFilms ABandApart JerseyFilms JohnTravolta SamuelL.Jackson UmaThurman BruceWillis VingRhames HarveyKeitel EricStoltz QuentinTarantino QuentinTarantino RogerAvary transporter brothel drugdealer boxer massage stolenmoney crimeboss dancecontest junkyard kamikaze ambiguousending briefcase redemption heirloom pulpfiction referencetoalgreen theft brutality 
40,Trois couleurs : Rouge,Three Colors: Red,Drama Mystery Romance Français ZespółFilmowyTOR LeStudioCanal+ France3Cinéma TélévisionSuisse-Romande IrèneJacob Jean-LouisTrintignant Jean-PierreLorit FrédériqueFeder SamuelLeBihan MarionStalens ZbigniewZamachowski KrzysztofKieślowski KrzysztofKieślowski KrzysztofKieślowski KrzysztofPiesiewicz KrzysztofPiesiewicz judge isolation mannequin shadowing englishchannel geneva travel dog 
41,Star Trek: Generations,Star Trek: Generations,ScienceFiction Action Adventure Thriller English ParamountPictures PatrickStewart JonathanFrakes BrentSpiner LeVarBurton MichaelDorn GatesMcFadden MarinaSirtis DavidCarson RonaldD.Moore BrannonBraga basedontvseries death explodingplanet mountaincabin solarsystem 
42,What's Eating Gilbert Grape,What's Eating Gilbert Grape,Romance Drama English ParamountPictures JohnnyDepp LeonardoDiCaprio JulietteLewis DarleneCates MarySteenburgen LauraHarrington MaryKateSchellhardt LasseHallström PeterHedges PeterHedges brotherbrotherrelationship mentallydisabled iowa widow dysfunctionalfamily independentfilm 
43,While You Were Sleeping,While You Were Sleeping,Comedy Drama Romance English CaravanPictures HollywoodPictures SandraBullock BillPullman PeterGallagher PeterBoyle JackWarden GlynisJohns MicoleMercurio JonTurteltaub DanielG.Sullivan FredricLeBow brotherbrotherrelationship chicago coma subway loveofone'slife brother manofone'sdreams hospital 
44,Muriel's Wedding,Muriel's Wedding,Drama Comedy Romance English Ciby2000 FilmVictoria House&MoorhouseFilms ToniCollette BillHunter RachelGriffiths SophieLee RozHammond BelindaJarrett PippaGrandison P.J.Hogan P.J.Hogan individual becominganadult dream return loveofone'slife overweight province bathing olympicgames empowerment boredom daughter friendship 
45,Ace Ventura: Pet Detective,Ace Ventura: Pet Detective,Comedy Mystery English WarnerBros. MorganCreekProductions JimCarrey SeanYoung CourteneyCox ToneLoc DanMarino NobleWillingham TroyEvans TomShadyac JackBernstein JimCarrey JackBernstein TomShadyac dolphin mascot privatedetective pets 
46,"The Adventures of Priscilla, Queen of the Desert","The Adventures of Priscilla, Queen of the Desert",Drama Comedy English PolyGramFilmedEntertainment TerenceStamp HugoWeaving GuyPearce BillHunter SarahChadwick JuneMarieBennett StephanElliott StephanElliott gay dragqueen homophobia musical van australia transgender australianaborigine 
47,The Flintstones,The Flintstones,Fantasy Comedy Family English UniversalPictures AmblinEntertainment Hanna-BarberaProductions JohnGoodman ElizabethPerkins RickMoranis RosieO'Donnell KyleMacLachlan HalleBerry ElizabethTaylor TomS.Parker JimJennewein StevenE.deSouza R.S.Allen HarveyBullock WarrenFoster AlexLovy JosephBarbera WilliamHanna BrianLevant manager jealousy badmother-in-law adoption family'sdailylife stoneage plan friendship bestfriend dinosaur 
48,Forrest Gump,Forrest Gump,Comedy Drama Romance English ParamountPictures TomHanks RobinWright GarySinise MykeltiWilliamson SallyField MichaelConnerHumphreys HannaHall RobertZemeckis EricRoth WinstonGroom ErikTIemens vietnamveteran hippie mentallydisabled running basedonnovel vietnam vietnamwar friendship love familyrelationships bully mothersonrelationship military hugging shrimping woundedsoldier flashback parkbench amputee 
49,Little Buddha,Little Buddha,Drama History English MiramaxFilms KeanuReeves BridgetFonda ChrisIsaak RuochengYing AlexWiesendanger RajuLal GreishmaMakarSing BernardoBertolucci BernardoBertolucci buddhist tibet reincarnation buddha siddhartha independentfilm 
50,Reality Bites,Reality Bites,Drama English UniversalPictures JerseyFilms WinonaRyder BenStiller JaneaneGarofalo SteveZahn EthanHawke SwoosieKurtz JoeDonBaker BenStiller HelenChildress roommate yuppie generationsconfilct camcorder cohabitant cabriolet fictionaltvshow unemployed 
51,Timecop,Timecop,Thriller ScienceFiction Action Crime English UniversalPictures RenaissancePictures DarkHorseEntertainment LargoEntertainment SignaturePictures JVCEntertainmentNetworks Jean-ClaudeVanDamme MiaSara RonSilver BruceMcGill GloriaReuben ScottBellis JasonSchombing PeterHyams MarkVerheiden martialarts timetravel sciencefiction alternativereality 
52,"Faster, Pussycat! Kill! Kill!","Faster, Pussycat! Kill! Kill!",Action Crime English EveProductionsInc. TuraSatana Haji LoriWilliams SueBernard StuartLancaster PaulTrinka DennisBusch RussMeyer RussMeyer JackMoran killing sportscar go-godancer eroticism kidnapping independentfilm bmovie exploitationfilm 
53,Highlander III: The Sorcerer,Highlander: The Final Dimension,Action Fantasy ScienceFiction English Trans-Film InitialGroupe LumièrePictures Fallingcloud ChristopherLambert MarioVanPeebles DeborahKaraUnger Mako MartinNeufeld DanielDo MichaelJayston AndrewMorahan PaulOhl BradMirman WilliamN.Panzer japan newyork scotland morocco goodandbad 
54,In the Mouth of Madness,In the Mouth of Madness,Horror Mystery Thriller English NewLineCinema SamNeill JulieCarmen JürgenProchnow DavidWarner PeterJason CharltonHeston JohnGlover MichaelDeLuca JohnCarpenter smalltown paranoia newhampshire insanity suspense h.p.lovecraft diner author disappearance church violence gothic crucifix newengland insuranceinvestigator ghosttown publisher horrornovel 
55,Addams Family Values,Addams Family Values,Comedy Family Fantasy English ParamountPictures OrionPictures ScottRudinProductions RaúlJuliá AnjelicaHuston ChristopherLloyd ChristinaRicci JoanCusack CarelStruycken HarrietSansomHarris BarrySonnenfeld PaulRudnick CharlesAddams PaulRudnick jealousy baby brothersisterrelationship butler yuppie nanny summercamp guillotine uncle 
56,Beverly Hills Cop III,Beverly Hills Cop III,"Action Comedy Crime English ParamountPictures EddieMurphyProductions EddieMurphy JudgeReinhold HéctorElizondo GilbertR.Hill TimothyCarhart BronsonPinchot StephenMcHattie DaniloBach DaniloBach DanielPetrie,Jr. DanielPetrie,Jr. StevenE.deSouza JohnLandis detective undercover securitycamera carousel investigation weapon sequel rescue counterfeit shootout dirtycop gunfight losangeles explosion violence footchase framed carchase secretservice amusementpark rollercoaster beverlyhills buddycomedy "
57,Color of Night,Color of Night,Drama Mystery Romance Thriller Český English HollywoodPictures CinergiPicturesEntertainment BruceWillis JaneMarch RubénBlades LesleyAnnWarren ScottBakula BradDourif LanceHenriksen RichardRush BillyRay MatthewChapman suicide california sex secretidentity eroticism paranoia nudity grouptherapy therapist grief obsessivecompulsivedisorder violence psychiatrist carchase disguise mentalillness colorblindness voyeurism 
58,The Getaway,The Getaway,Drama Action Thriller English UniversalPictures LargoEntertainment AlecBaldwin KimBasinger MichaelMadsen JamesWoods DavidMorse JenniferTilly JamesStephens RogerDonaldson JimThompson WalterHill AmyHoldenJones suicidebyhanging sexualtorture explodingtruck cuckold garbagedump 
59,Hard Target,Hard Target,Action Adventure Crime Thriller English UniversalPictures RenaissancePictures AlphavilleFilms Jean-ClaudeVanDamme ArnoldVosloo LanceHenriksen YancyButler Sven-OleThorsen WilfordBrimley TedRaimi JohnWoo ChuckPfarrer neworleans mercenary huntinghumanbeings money drifter union sailor humanprey 
60,The House of the Spirits,The House of the Spirits,Romance Drama Español English DetDanskeFilminstitut SpringCreekProductions Eurimages CostadoCasteloFilmes NeueConstantinFilm HouseofSpiritsFilm MerylStreep GlennClose JeremyIrons WinonaRyder AntonioBanderas ArminMueller-Stahl VanessaRedgrave BilleAugust IsabelAllende BilleAugust centralandsouthamerica farmworker farm coupd'etat santiago paranormalphenomena domesticviolence estate familyestate 
61,In the Name of the Father,In the Name of the Father,Drama English UniversalPictures Hell'sKitchenFilms DanielDay-Lewis PetePostlethwaite EmmaThompson JohnLynch CorinRedgrave BeatieEdney JohnBenfield TerryGeorge JimSheridan JimSheridan GerryConlon bomb prison fathersonrelationship basedonnovel 1970s biography faith irish trial rebellion torture terrorism courtroom 
62,Judgment Night,Judgment Night,Action Thriller Crime English UniversalPictures LargoEntertainment JVCEntertainmentNetworks EmilioEstevez CubaGoodingJr. DenisLeary JeremyPiven PeterGreene MichaelDeLorenzo Everlast StephenHopkins LewisColick LewisColick JereCunningham chicago drugdealer boxingmatch escape onenight 
63,Jurassic Park,Jurassic Park,Adventure ScienceFiction English Español UniversalPictures AmblinEntertainment SamNeill LauraDern JeffGoldblum RichardAttenborough BobPeck MartinFerrero BDWong StevenSpielberg MichaelCrichton MichaelCrichton DavidKoepp exoticisland dna paleontology tyrannosaurusrex triceratops brontosaurus electricfence island dinosaur amusementpark themepark jurassicpark 
64,Killing Zoe,Killing Zoe,Action Crime Drama Thriller English Français LiveEntertainment EricStoltz JulieDelpy Jean-HuguesAnglade TaiThai BruceRamsay KarioSalem SalvatorXuereb RogerAvary RogerAvary paris prostitute robbery drugabuse aids bank jazz hostage nightlife kidnapping vault junkie bankrobber heroin friendship murder independentfilm pistol violence drug bankrobbery illegalprostitution hoodlum 
65,M. Butterfly,M. Butterfly,Drama Romance English GeffenPictures WarnerBros. JeremyIrons JohnLone BarbaraSukowa IanRichardson AnnabelLeventon VernonDobtcheff ShizukoHoshi DavidCronenberg DavidHenryHwang china operasinger 
66,Executive Decision,Executive Decision,Action Adventure Drama Thriller English SilverPictures WarnerBros. KurtRussell StevenSeagal HalleBerry JohnLeguizamo OliverPlatt JoeMorton DavidSuchet JimThomas JohnThomas StuartBaird bomb ransom hostage airplane hijacking terrorcell specialunit deception rescue covertoperation disaster shootout terrorism explosion violence surveillance nightvisiongoggles flightattendant intelligenceagent flashback handtohandcombat nervegas 
67,Mr. Jones,Mr. Jones,Drama Romance English TriStarPictures RastarFilms RichardGere LenaOlin AnneBancroft TomIrwin DelroyLindo BruceAltman LaurenTom MikeFiggis EricRoth MichaelCristofer depression therapist symphony piano psychiatristpatientrelationship bipolardisorder 
68,Mrs. Doubtfire,Mrs. Doubtfire,Comedy Drama Family English TwentiethCenturyFoxFilmCorporation BlueWolf RobinWilliams SallyField PierceBrosnan HarveyFierstein PollyHolliday LisaJakub MatthewLawrence ChrisColumbus AnneFine RandiMayemSinger LeslieDixon sanfrancisco parentchildrelationship restaurant nanny mask custodybattle fakeidentity 
69,Poetic Justice,Poetic Justice,Drama Romance English Français ColumbiaPictures JanetJackson TupacAmaruShakur ReginaKing JoeTorry TyraFerrell RogerGuenveurSmith BillyZane JohnSingleton JohnSingleton KeenenIvoryWayans lossoflover sadness losangeles roadmovie 
70,The Remains of the Day,The Remains of the Day,Drama Romance English ColumbiaPictures MerchantIvoryProductions AnthonyHopkins EmmaThompson JamesFox ChristopherReeve HughGrant PeterVaughan BenChaplin JamesIvory KazuoIshiguro RuthPrawerJhabvala newspaper butler countryhouse loyalty flower nazis jewish britain housekeeper employer 
71,Rising Sun,Rising Sun,Action Drama Thriller 日本語 English TwentiethCenturyFoxFilmCorporation Walrus&Associates SeanConnery WesleySnipes HarveyKeitel Cary-HiroyukiTagawa KevinAnderson Mako RayWise PhilipKaufman PhilipKaufman MichaelCrichton MichaelCrichton MichaelBackes japan usa corruption detective journalist basedonnovel japanese restaurant wheelchair parkinggarage company police party murder whodunit seppuku bulletproofvest 
72,RoboCop 3,RoboCop 3,Action Adventure Crime ScienceFiction Thriller English 日本語 OrionPictures RobertJohnBurke NancyAllen MarioMachado JodiLong JohnPosey Mako RipTorn FredDekker EdwardNeumeier MichaelMiner FrankMiller FredDekker FrankMiller cyborg dystopia police sequel cyberpunk policeman robocop 
73,Romeo Is Bleeding,Romeo Is Bleeding,Action Crime Drama Thriller English WorkingTitleFilms PolygramFilmedEntertainment HilaryHenkin GaryOldman LenaOlin AnnabellaSciorra JulietteLewis RoyScheider DavidProval WillPatton PeterMedak HilaryHenkin policeoperation sexaddiction police mafiaboss suspense badcop hitwoman 
74,Short Cuts,Short Cuts,Comedy Drama English FineLineFeatures SpellingEntertainment AvenueEntertainment JulianneMoore AndieMacDowell TimRobbins JackLemmon AnneArcher BruceDavison ZaneCassidy RobertAltman RobertAltman RaymondCarver FrankBarhydt suicide lossofson helicopter cheating fishing dailylife jazzmusician modernsociety cellist earthquake losangeles 
75,Sleepless in Seattle,Sleepless in Seattle,Comedy Drama Romance English TriStarPictures TomHanks MegRyan BillPullman RossMalinger RosieO'Donnell GabyHoffmann VictorGarber NoraEphron NoraEphron DavidS.Ward JeffArch JeffArch fathersonrelationship lovesickness journalist lossofmother lossoflover radiostation christmasparty loveofone'slife radio seattle baltimore fiancé radiopresenter airplane radiotransmission observationdeck friendship unsociability womandirector 
76,Blade Runner,Blade Runner,ScienceFiction Drama Thriller English Deutsch 广州话/廣州話 日本語 Magyar ShawBrothers WarnerBros. TheLaddCompany HarrisonFord RutgerHauer SeanYoung EdwardJamesOlmos M.EmmetWalsh DarylHannah WilliamSanderson RidleyScott PhilipK.Dick HamptonFancher DavidWebbPeoples artificialintelligence bountyhunter dystopia genetics fugitive cyberpunk losangeles technoir neo-noir futurista lluvia 
77,True Romance,True Romance,Action Thriller Crime Romance English Italiano Davis-Films AugustEntertainment WarnerBros. MorganCreekProductions ChristianSlater PatriciaArquette MichaelRapaport BronsonPinchot GaryOldman DennisHopper ChristopherWalken TonyScott QuentinTarantino RogerAvary fathersonrelationship filmproducer mexicanstandoff lossoffather cocaine love mafia losangeles drug illegalprostitution gunviolence 
78,Ghost,Ghost,Fantasy Drama Thriller Mystery Romance English ParamountPictures PatrickSwayze DemiMoore WhoopiGoldberg TonyGoldwyn VincentSchiavelli GailBoggs StephenRoot JerryZucker BruceJoelRubin corruption fortuneteller moneytransfer moneylaundering pottery afterlife spiritism 
